alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,76877,1197,192.168.100.4,80,flow,0,True,2025-06-28T07:32:53.390978+0700,1508734907273503,timeout,2025-06-28T07:32:53.282911+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,16,TCP,192.168.100.6,38138,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:59.057710+0700
,,,,,http,77513,1449,192.168.100.4,80,flow,0,True,2025-06-28T07:30:09.455708+0700,1998064815511074,timeout,2025-06-28T07:30:09.398882+0700,closed,slowread_detected,,,,,,,,enp0s3,59,19,TCP,192.168.100.6,56444,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:54.232514+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,140276,2087,192.168.100.4,80,flow,14,True,2025-06-28T07:33:10.413595+0700,2046851360016495,timeout,2025-06-28T07:32:56.182383+0700,closed,slowread_detected,text/html,192.168.100.4,71050,GET,200,/2025/06/05/how-to-detect-and-mitigate-slow-read-attacks-on-your-website/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,104,27,TCP,192.168.100.6,38154,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:17.664581+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,76882,1143,192.168.100.4,80,flow,0,True,2025-06-28T07:32:57.141519+0700,1225821116794089,timeout,2025-06-28T07:32:57.034025+0700,closed,slowread_detected,text/html,192.168.100.4,72663,GET,200,/2025/06/05/hello-world/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,15,TCP,192.168.100.6,38164,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:57.054893+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74565,1116,192.168.100.4,80,flow,0,True,2025-06-28T07:32:57.265883+0700,1903637823059651,timeout,2025-06-28T07:32:57.095939+0700,closed,slowread_detected,text/html,192.168.100.4,70547,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,54,14,TCP,192.168.100.6,38178,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:34:13.660080+0700
,,,,,http,74594,1182,192.168.100.4,80,flow,0,True,2025-06-28T07:28:43.975555+0700,733145401599529,timeout,2025-06-28T07:28:43.927273+0700,closed,slowread_detected,,,,,,,,enp0s3,54,15,TCP,192.168.100.6,33558,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:32:57.569457+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,77381,1185,192.168.100.4,80,flow,0,True,2025-06-28T07:33:00.242787+0700,1186794896623777,timeout,2025-06-28T07:33:00.133281+0700,closed,slowread_detected,text/html,192.168.100.4,73167,GET,200,/2025/06/05/what-is-a-slow-read-attack-understanding-this-sneaky-cyber-threat/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,57,15,TCP,192.168.100.6,38188,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:37:50.006679+0700
,,,,,http,75199,1048,192.168.100.4,80,flow,0,True,2025-06-28T07:28:33.862681+0700,594239716138276,timeout,2025-06-28T07:28:33.793892+0700,closed,slowread_detected,,,,,,,,enp0s3,56,13,TCP,192.168.100.6,41816,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:00.240065+0700
,,,,,http,74654,1248,192.168.100.4,80,flow,0,True,2025-06-28T07:29:38.166195+0700,313509920547953,timeout,2025-06-28T07:29:38.107633+0700,closed,slowread_detected,,,,,,,,enp0s3,55,16,TCP,192.168.100.6,48908,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:33:01.573512+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,139666,2089,192.168.100.4,80,flow,10,True,2025-06-28T07:33:14.438713+0700,1707278361197133,timeout,2025-06-28T07:33:04.293453+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,Apache-HttpClient/4.5.14 (Java/21.0.6),enp0s3,102,27,TCP,192.168.100.6,60922,True,True,1b,1b,1b,True,closed,True,2025-06-28T07:36:38.509751+0700
