alert_action,alert_category,alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_alerted,flow_end,flow_id,flow_reason,flow_start,flow_state,flowbits,http_content_type,http_host,http_length,http_method,http_status,http_url,http_user_agent,in_iface,pkts_toclient,pkts_toserver,proto,src_ip,src_port,tcp_ack,tcp_fin,tcp_flags,tcp_flags_tc,tcp_flags_ts,tcp_psh,tcp_state,tcp_syn,timestamp
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74641,1386,192.168.100.4,80,flow,1,True,2025-06-27T13:11:09.010896+0700,1879109227297974,timeout,2025-06-27T13:11:08.834742+0700,closed,slowread_detected,text/html,192.168.100.4,70547,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,16,TCP,192.168.100.6,45580,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:44.071979+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74641,1320,192.168.100.4,80,flow,1,True,2025-06-27T13:11:12.141072+0700,1959773008248068,timeout,2025-06-27T13:11:11.802052+0700,closed,slowread_detected,text/html,192.168.100.4,70547,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,15,TCP,192.168.100.6,59272,True,,1e,1a,1e,True,closed,True,2025-06-27T13:13:00.653948+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74926,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:11:15.173000+0700,318492058495440,timeout,2025-06-27T13:11:14.829904+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,13,TCP,192.168.100.6,59426,True,,1e,1a,1e,True,closed,True,2025-06-27T13:14:21.382833+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,75013,1188,192.168.100.4,80,flow,1,True,2025-06-27T13:11:18.157584+0700,661170319388586,timeout,2025-06-27T13:11:17.782250+0700,closed,slowread_detected,text/html,192.168.100.4,70539,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,54,13,TCP,192.168.100.6,59596,True,,1e,1a,1e,True,closed,True,2025-06-27T13:16:05.435162+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74926,1386,192.168.100.4,80,flow,1,True,2025-06-27T13:11:21.068157+0700,1112105378426729,timeout,2025-06-27T13:11:20.896873+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,16,TCP,192.168.100.6,44190,True,,1e,1a,1e,True,closed,True,2025-06-27T13:12:54.620551+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,74926,1320,192.168.100.4,80,flow,0,True,2025-06-27T13:11:23.962520+0700,1657407311383157,timeout,2025-06-27T13:11:23.789109+0700,closed,slowread_detected,text/html,192.168.100.4,70570,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,55,15,TCP,192.168.100.6,44346,True,,1e,1a,1e,True,closed,True,2025-06-27T13:12:24.599874+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,25023,834,192.168.100.4,80,flow,0,True,2025-06-27T13:11:26.651815+0700,1447009748699854,timeout,2025-06-27T13:11:26.576206+0700,closed,slowread_detected,text/html,192.168.100.4,23312,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,19,8,TCP,192.168.100.6,44454,True,True,1f,1a,1f,True,closed,True,2025-06-27T13:14:25.322035+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,8865,708,192.168.100.4,80,flow,0,True,2025-06-27T13:11:29.696054+0700,239563445489747,timeout,2025-06-27T13:11:29.577619+0700,closed,slowread_detected,text/html,192.168.100.4,7880,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,8,6,TCP,192.168.100.6,44470,True,True,1f,1a,1f,True,closed,True,2025-06-27T13:16:08.103045+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,8865,708,192.168.100.4,80,flow,0,True,2025-06-27T13:11:32.825554+0700,1370456252012438,timeout,2025-06-27T13:11:32.579478+0700,closed,slowread_detected,text/html,192.168.100.4,7880,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,8,6,TCP,192.168.100.6,43684,True,True,1f,1a,1f,True,closed,True,2025-06-27T13:16:15.470969+0700
allowed,access to a potentially vulnerable web application,2,[HTTP] HTTP GET Request Detected,1000002,http,8865,708,192.168.100.4,80,flow,0,True,2025-06-27T13:11:35.730916+0700,1527433011912142,timeout,2025-06-27T13:11:35.581070+0700,closed,slowread_detected,text/html,192.168.100.4,7880,GET,200,/2025/06/05/understanding-different-types-of-denial-of-service-dos-attacks/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",enp0s3,8,6,TCP,192.168.100.6,43692,True,True,1f,1a,1f,True,closed,True,2025-06-27T13:12:42.647323+0700
