alert_severity,alert_signature,alert_signature_id,app_proto,bytes_toclient,bytes_toserver,dest_ip,dest_port,event_type,flow_age,flow_id,flow_state,http_host,http_length,http_method,http_status,http_url,http_user_agent,pkts_toclient,pkts_toserver,proto,src_ip,src_port,timestamp
3,HTTP GET Request Detected,1000002,http,2149,641,192.168.100.4,80,flow,5,1183210041420030,closed,192.168.100.4,1550,GET,200,/?id=490&q=home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,39320,2025-06-02T18:45:04.262264+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,5,1831647024228930,closed,192.168.100.4,1550,GET,200,/?id=257&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,39322,2025-06-02T18:46:21.411390+0700
3,HTTP GET Request Detected,1000002,http,2149,626,192.168.100.4,80,flow,4,1893945525199742,closed,192.168.100.4,1550,GET,200,/?id=992&q=about,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,46612,2025-06-02T18:44:07.501687+0700
3,HTTP GET Request Detected,1000002,http,2149,635,192.168.100.4,80,flow,6,981110356198125,closed,192.168.100.4,1550,GET,200,/?id=904&q=home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,46620,2025-06-02T18:46:11.400905+0700
3,HTTP GET Request Detected,1000002,http,2149,644,192.168.100.4,80,flow,6,1010754220887119,closed,192.168.100.4,1550,GET,200,/?id=450&q=contact,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,39072,2025-06-02T18:48:10.367624+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,6,1632815809595349,closed,192.168.100.4,1550,GET,200,/?id=466&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,42478,2025-06-02T18:44:42.193993+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,5,1769696417702591,closed,192.168.100.4,1550,GET,200,/?id=548&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,42484,2025-06-02T18:44:35.524491+0700
3,HTTP GET Request Detected,1000002,http,2149,641,192.168.100.4,80,flow,4,90029197820427,closed,192.168.100.4,1550,GET,200,/?id=695&q=home,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,40152,2025-06-02T18:44:51.532998+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,5,1289939981406266,closed,192.168.100.4,1550,GET,200,/?id=812&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,40160,2025-06-02T18:46:57.456355+0700
3,HTTP GET Request Detected,1000002,http,2149,645,192.168.100.4,80,flow,4,1449686995341041,closed,192.168.100.4,1550,GET,200,/?id=887&q=services,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,33362,2025-06-02T18:44:39.524614+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,6,1762674147375919,closed,192.168.100.4,1550,GET,200,/?id=943&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,33364,2025-06-02T18:48:23.042801+0700
3,HTTP GET Request Detected,1000002,http,2149,639,192.168.100.4,80,flow,6,1689672588656634,closed,192.168.100.4,1550,GET,200,/?id=414&q=services,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,50318,2025-06-02T18:46:19.417313+0700
3,HTTP GET Request Detected,1000002,http,2149,634,192.168.100.4,80,flow,4,804655922942008,closed,192.168.100.4,1550,GET,200,/?id=30&q=home,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,50332,2025-06-02T18:46:19.412446+0700
3,HTTP GET Request Detected,1000002,http,2149,642,192.168.100.4,80,flow,6,1601243507596738,closed,192.168.100.4,1550,GET,200,/?id=641&q=about,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),5,6,TCP,192.168.100.5,37288,2025-06-02T18:47:48.351620+0700
3,HTTP GET Request Detected,1000002,http,2149,636,192.168.100.4,80,flow,6,1744137069965164,closed,192.168.100.4,1550,GET,200,/?id=282&q=about,Mozilla/5.0 (Windows NT 10.0; Win64; x64),5,6,TCP,192.168.100.5,37304,2025-06-02T18:49:01.096159+0700
3,HTTP GET Request Detected,1000002,http,2149,629,192.168.100.4,80,flow,5,1834589081615709,closed,192.168.100.4,1550,GET,200,/?id=813&q=services,Mozilla/5.0 (X11; Linux x86_64),5,6,TCP,192.168.100.5,44766,2025-06-02T18:47:35.002750+0700
,,,,0,62,ff02:0000:0000:0000:0000:0000:0000:0002,,flow,0,765919609802945,new,,,,,,,0,1,IPv6-ICMP,fe80:0000:0000:0000:c37f:7050:52f1:6196,,2025-06-02T18:44:04.167065+0700
